192,32,0,0,0,0,0,0,0,0.0
1176,135,255,191,252,39,129,48,206,0.0
519,4,4,96,72,43,30,213,24,0.0
1225,1,249,21,130,13,3,246,75,0.0
560,246,0,0,2,236,0,18,0,0.0
737,0,0,0,0,0,0,0,4,0.0
852,31,228,192,0,0,7,66,128,0.0
1505,137,63,224,11,10,0,164,128,0.0
354,0,8,2,147,234,17,244,206,0.0
167,0,16,250,100,225,40,32,160,0.0
675,0,0,0,132,40,128,60,16,0.0
293,144,0,64,223,63,127,119,96,0.0
1760,4,33,4,18,4,32,4,33,0.0
14,32,82,214,2,8,9,118,134,0.0
263,0,0,0,0,0,0,0,0,0.0
208,42,123,12,96,49,4,194,0,0.0
51,0,6,152,0,13,66,71,208,0.0
852,31,228,192,0,0,7,66,128,0.0
1505,137,63,224,11,10,0,160,128,0.0
651,0,0,0,0,0,0,0,0,0.0
1788,0,0,7,103,242,178,184,0,0.0
167,0,16,249,228,209,40,32,160,0.0
569,0,0,0,72,192,0,69,224,0.0
215,0,0,2,0,128,0,0,0,0.0
1694,4,64,4,127,31,192,21,66,0.0
293,144,0,64,223,63,127,89,96,0.0
14,32,82,214,2,8,9,118,122,0.0
403,0,8,8,3,232,8,0,0,0.0
526,78,32,3,162,93,191,207,247,0.0
961,123,85,31,186,203,217,233,46,0.0
1314,223,127,208,0,122,208,0,28,0.0
870,128,29,200,2,1,71,206,56,0.0
1408,0,0,0,3,173,8,0,0,0.0
1076,3,170,160,164,165,193,184,192,0.0
1760,4,33,4,20,4,33,4,31,0.0
339,0,0,0,0,0,12,0,10,0.0
1634,79,96,0,0,64,0,0,0,0.0
412,12,162,32,10,2,0,41,16,0.0
208,50,123,12,96,48,4,194,0,0.0
51,0,6,144,0,13,130,71,208,0.0
628,0,242,6,248,16,124,133,211,0.0
192,32,0,0,0,0,0,0,0,0.0
1644,0,128,16,0,32,0,0,32,0.0
1176,135,255,191,252,37,129,49,15,0.0
1277,17,56,10,78,75,11,74,8,0.0
1331,237,127,207,126,255,248,239,127,0.0
560,245,0,0,2,236,0,20,0,0.0
737,0,0,0,0,0,0,0,4,0.0
852,31,228,192,0,0,7,51,128,0.0
1505,137,63,224,11,10,0,160,128,0.0
354,0,8,2,147,234,17,244,206,0.0
167,0,16,250,100,225,40,32,160,0.0
1175,0,0,0,0,0,0,0,0,0.0
293,144,0,64,223,63,127,59,96,0.0
692,20,234,214,0,0,0,88,0,0.0
14,32,82,214,2,8,9,118,110,0.0
1760,4,26,4,19,4,32,4,32,0.0
738,24,8,13,64,64,0,1,24,0.0
263,0,0,0,0,0,0,0,0,0.0
186,6,168,15,196,16,0,1,168,0.0
837,5,2,2,194,60,119,64,129,0.0
1072,0,78,68,140,214,128,17,160,0.0
208,58,123,12,96,46,4,195,0,0.0
51,0,6,136,0,13,194,71,208,0.0
304,0,1,112,0,0,0,0,0,0.0
852,31,228,192,0,0,7,44,0,0.0
1505,137,63,224,11,10,0,160,128,0.0
651,0,0,0,0,0,0,0,0,0.0
167,0,16,251,100,225,40,32,160,0.0
722,0,0,32,62,128,0,0,0,0.0
1372,16,27,0,0,65,130,48,0,0.0
1694,4,64,4,127,31,192,21,66,0.0
293,144,0,64,223,63,127,29,96,0.0
403,0,8,8,3,232,8,0,0,0.0
14,32,82,214,2,8,9,118,122,0.0
526,78,32,3,162,95,63,207,255,0.0
1314,223,127,208,0,122,88,0,28,0.0
870,128,93,200,2,1,71,206,56,0.0
1408,0,0,0,3,165,136,0,0,0.0
1076,3,202,160,164,246,1,249,16,0.0
1760,4,24,4,22,4,32,4,32,0.0
778,32,45,128,1,213,172,10,0,0.0
1255,0,0,0,20,3,124,0,0,0.0
339,0,0,0,0,0,12,0,10,0.0
1634,79,96,0,0,64,0,0,0,0.0
1668,76,215,120,89,65,103,80,30,0.0
1590,36,156,254,64,240,5,80,0,0.0
727,16,0,96,216,0,0,0,8,0.0
412,16,158,32,10,2,0,41,16,0.0
208,66,123,12,96,45,4,195,0,0.0
51,0,6,128,0,14,2,71,208,0.0
628,0,242,8,246,16,124,133,211,0.0
192,32,0,0,0,0,0,0,0,0.0
961,123,85,31,187,138,90,169,46,0.0
676,54,220,0,28,4,8,152,208,0.0
1176,135,255,191,252,52,129,49,0,0.0
996,0,212,0,0,133,0,0,0,0.0
737,0,0,0,0,0,0,0,4,0.0
852,31,228,192,0,0,7,44,0,0.0
1505,137,63,224,11,10,0,164,128,0.0
354,0,8,2,147,234,17,244,206,0.0
167,0,16,250,228,209,40,32,160,0.0
813,0,0,4,32,172,1,0,32,0.0
1628,64,8,242,214,128,0,0,0,0.0
1399,0,0,8,0,0,0,1,68,0.0
560,244,0,0,2,236,0,22,0,0.0
293,144,0,64,223,63,126,255,96,0.0
1760,4,31,4,23,4,33,4,32,0.0
14,32,82,214,2,8,9,118,134,0.0
263,0,0,0,0,0,0,0,0,0.0
622,1,6,64,130,137,34,10,4,0.0
661,0,0,0,0,0,0,8,64,0.0
208,74,123,12,96,44,4,195,0,0.0
51,0,6,120,0,14,66,71,208,0.0
852,31,228,192,0,0,7,29,0,0.0
1505,137,63,224,11,10,0,164,128,0.0
651,0,0,0,0,0,0,0,0,0.0
167,0,16,249,228,225,40,32,160,0.0
1031,64,1,96,144,40,192,136,96,0.0
1694,4,64,4,127,31,192,21,66,0.0
293,144,0,64,223,63,96,193,96,0.0
403,0,8,8,3,232,8,0,0,0.0
14,32,82,214,2,8,9,118,122,0.0
526,78,32,3,162,94,63,239,239,0.0
1314,223,127,208,0,121,224,0,28,0.0
870,128,29,200,2,1,71,206,56,0.0
1408,0,0,0,3,158,8,0,0,0.0
1076,3,234,160,165,38,66,73,80,0.0
1760,4,27,4,25,4,33,4,32,0.0
339,0,0,0,0,0,12,0,10,0.0
1634,79,96,0,0,64,0,0,0,0.0
412,20,154,32,10,2,0,41,16,0.0
208,82,123,12,96,43,4,195,0,0.0
51,0,6,112,0,14,130,71,208,0.0
628,0,242,10,244,16,124,133,211,0.0
